datetime,open,high,low,close,volume
2025-06-06 10:00:00,3343.14,3344.86,3316.34,3326.04,31055
2025-06-06 11:00:00,3326.09,3336.65,3323.34,3332.11,17841
2025-06-06 12:00:00,3332.09,3332.62,3320.79,3322.7,12770
2025-06-06 13:00:00,3322.78,3326.64,3321.24,3323.55,9006
2025-06-06 14:00:00,3323.55,3323.96,3313.59,3317.38,8334
2025-06-06 15:00:00,3317.39,3318.85,3311.2,3312.29,9094
2025-06-06 16:00:00,3312.28,3312.85,3307.03,3311.61,4828
2025-06-08 18:00:00,3315.39,3321.1,3309.11,3314.73,6284
2025-06-08 19:00:00,3314.67,3318.41,3313.28,3317.93,4886
2025-06-08 20:00:00,3317.93,3318.56,3298.19,3305.32,12817
2025-06-08 21:00:00,3305.33,3309.3,3294.89,3295.86,14721
2025-06-08 22:00:00,3296.01,3307.47,3293.42,3305.39,12306
2025-06-08 23:00:00,3305.4,3311.9,3304.1,3310.68,10236
2025-06-09 00:00:00,3310.66,3313.34,3309.13,3311.67,6589
2025-06-09 01:00:00,3311.66,3316.51,3309.51,3314.56,9312
2025-06-09 02:00:00,3314.57,3324.85,3312.41,3324.25,9146
2025-06-09 03:00:00,3324.32,3328.52,3321.46,3324.08,9159
2025-06-09 04:00:00,3324.08,3325.54,3319.72,3319.76,7802
2025-06-09 05:00:00,3319.67,3323.45,3316.77,3318.51,7985
2025-06-09 06:00:00,3318.53,3319.66,3312.11,3314.57,6526
2025-06-09 07:00:00,3314.72,3321.25,3313.54,3317.34,8310
2025-06-09 08:00:00,3317.42,3322.39,3312.89,3319.97,10585
2025-06-09 09:00:00,3319.97,3321.62,3310.62,3319.21,18789
2025-06-09 10:00:00,3319.11,3326.74,3316.02,3320.8,15900
2025-06-09 11:00:00,3320.8,3332.05,3320.22,3328.59,10642
2025-06-09 12:00:00,3328.63,3337.76,3327.42,3337.59,10312
2025-06-09 13:00:00,3337.6,3338.12,3332.81,3333.48,7329
2025-06-09 14:00:00,3333.47,3336.93,3332.61,3333.04,5841
2025-06-09 15:00:00,3333.05,3335.33,3325.84,3327.02,6681
2025-06-09 16:00:00,3327.14,3329.47,3324.83,3325.54,4021
2025-06-09 18:00:00,3326.97,3327.04,3321.42,3323.56,3664
2025-06-09 19:00:00,3323.56,3327.77,3323.56,3326.68,3111
