XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/05/2025 13:00,4228.72,4238.52,4221.47,4234.48,576,0.14,
12/05/2025 12:00,4223.69,4229.65,4222.88,4228.63,494,0.12,
12/05/2025 11:00,4222.92,4225.74,4220.11,4223.64,72,0.02,
12/05/2025 10:00,4223.44,4227.6,4222.43,4223.01,-43,-0.01,
12/05/2025 09:00,4220.64,4225.14,4215.85,4223.46,282,0.07,
12/05/2025 08:00,4224.53,4226.95,4220.62,4220.68,-385,-0.09,
12/05/2025 07:00,4224.41,4230.7,4222.47,4224.55,14,0.00,
12/05/2025 06:00,4220.45,4229.29,4218.53,4224.4,395,0.09,
12/05/2025 05:00,4216.83,4221.1,4214.41,4220.47,364,0.09,
12/05/2025 04:00,4209.37,4217.26,4207.93,4216.83,746,0.18,
12/05/2025 03:00,4207.27,4210.96,4201.88,4209.51,224,0.05,
12/05/2025 02:00,4202.92,4208.27,4196.67,4207.53,461,0.11,
12/05/2025 01:00,4201.58,4204.21,4194.8,4203.11,153,0.04,
12/05/2025 00:00,4206.0,4210.5,4201.24,4201.78,-422,-0.10,
12/04/2025 23:00,4207.1,4209.64,4203.68,4205.95,-115,-0.03,
12/04/2025 22:00,4208.61,4208.61,4208.61,4208.61,0,0.00,
12/04/2025 21:00,4209.98,4210.25,4207.86,4208.59,-139,-0.03,
12/04/2025 20:00,4209.0,4210.34,4205.46,4210.03,103,0.02,
12/04/2025 19:00,4208.02,4210.24,4199.47,4208.83,81,0.02,
12/04/2025 18:00,4216.35,4217.49,4207.2,4208.0,-835,-0.20,
12/04/2025 17:00,4215.8,4217.48,4208.89,4216.45,65,0.02,
12/04/2025 16:00,4207.37,4219.0,4206.54,4215.7,833,0.20,
12/04/2025 15:00,4201.09,4210.26,4191.45,4207.56,647,0.15,
12/04/2025 14:00,4198.14,4213.23,4193.59,4207.6,946,0.22,
12/04/2025 13:00,4190.43,4198.46,4185.61,4198.21,778,0.19,
12/04/2025 12:00,4198.62,4201.87,4188.66,4190.44,-818,-0.20,
12/04/2025 11:00,4197.32,4206.59,4197.2,4198.72,140,0.03,
12/04/2025 10:00,4199.79,4202.49,4196.78,4197.35,-244,-0.06,
12/04/2025 09:00,4184.96,4202.32,4183.75,4199.91,1495,0.36,
12/04/2025 08:00,4193.33,4196.42,4184.96,4185.05,-828,-0.20,
12/04/2025 07:00,4190.38,4194.89,4186.74,4193.78,340,0.08,
12/04/2025 06:00,4181.21,4190.28,4178.63,4190.27,906,0.22,
12/04/2025 05:00,4196.89,4199.1,4175.14,4181.25,-1564,-0.37,
12/04/2025 04:00,4195.66,4199.15,4192.72,4196.97,131,0.03,
12/04/2025 03:00,4200.59,4201.63,4187.31,4195.67,-492,-0.12,
12/04/2025 02:00,4209.34,4209.34,4198.81,4200.45,-889,-0.21,
12/04/2025 01:00,4211.73,4216.69,4205.8,4209.33,-240,-0.06,
12/04/2025 00:00,4207.38,4215.76,4204.6,4211.61,423,0.10,
12/03/2025 23:00,4204.52,4209.03,4202.74,4207.37,285,0.07,
12/03/2025 21:00,4206.33,4210.02,4202.66,4203.08,-325,-0.08,
12/03/2025 20:00,4207.75,4212.77,4203.68,4206.39,-136,-0.03,
