datetime,open,high,low,close,volume
2024.06.13 13:00,2299.20000,2304.36000,2299.00000,2301.32000,7617,0
2024.06.13 14:00,2301.34000,2303.89000,2300.01000,2302.94000,3352,0
2024.06.13 15:00,2302.95000,2304.86000,2302.64000,2303.31000,3331,0
2024.06.13 16:00,2303.40000,2304.25000,2302.88000,2303.67000,977,0
2024.06.13 18:00,2303.11000,2304.03000,2302.82000,2302.87000,974,0
2024.06.13 19:00,2302.88000,2303.20000,2301.59000,2302.22000,1533,0
2024.06.13 20:00,2302.22000,2305.62000,2301.44000,2304.87000,4120,0
2024.06.13 21:00,2304.87000,2307.09000,2303.01000,2305.94000,9031,0
2024.06.13 22:00,2305.93000,2306.93000,2304.10000,2306.60000,6473,0
2024.06.13 23:00,2306.58000,2308.53000,2304.91000,2305.43000,9302,0
2024.06.14 00:00,2305.38000,2306.04000,2303.43000,2305.87000,4374,0
2024.06.14 01:00,2305.86000,2311.51000,2305.47000,2309.79000,7147,0
2024.06.14 02:00,2309.77000,2312.72000,2307.39000,2312.62000,9186,0
2024.06.14 03:00,2312.61000,2316.57000,2309.28000,2315.24000,8372,0
2024.06.14 04:00,2315.23000,2321.58000,2314.75000,2317.30000,8486,0
2024.06.14 05:00,2317.31000,2322.64000,2315.14000,2322.53000,8202,0
2024.06.14 06:00,2322.52000,2332.55000,2320.93000,2330.50000,10540,0
2024.06.14 07:00,2330.47000,2336.57000,2325.93000,2331.89000,11149,0
2024.06.14 08:00,2331.93000,2333.34000,2327.18000,2330.27000,14506,0
2024.06.14 09:00,2330.27000,2332.80000,2324.13000,2330.20000,16266,0
2024.06.14 10:00,2330.18000,2335.37000,2327.84000,2330.05000,17243,0
2024.06.14 11:00,2330.03000,2332.09000,2323.95000,2325.98000,10519,0
2024.06.14 12:00,2326.07000,2331.80000,2325.30000,2328.73000,9355,0
2024.06.14 13:00,2328.75000,2335.46000,2328.42000,2334.09000,7549,0
2024.06.14 14:00,2334.14000,2335.05000,2332.14000,2334.62000,3957,0
2024.06.14 15:00,2334.63000,2335.29000,2332.05000,2332.37000,4904,0
2024.06.14 16:00,2332.43000,2332.87000,2330.93000,2332.51000,1604,0
2024.06.16 18:00,2332.14000,2332.48000,2327.51000,2328.75000,1967,0
2024.06.16 19:00,2328.83000,2329.52000,2327.32000,2328.88000,2187,0
2024.06.16 20:00,2328.88000,2328.89000,2325.15000,2326.32000,4900,0
2024.06.16 21:00,2326.32000,2328.87000,2322.65000,2326.21000,11066,0
2024.06.16 22:00,2326.20000,2326.20000,2321.43000,2322.53000,7376,0
2024.06.16 23:00,2322.50000,2325.13000,2321.61000,2324.30000,5086,0
2024.06.17 00:00,2324.30000,2326.12000,2322.63000,2323.58000,2886,0
2024.06.17 01:00,2323.55000,2323.58000,2317.74000,2318.52000,6919,0
2024.06.17 02:00,2318.49000,2319.18000,2315.40000,2317.31000,9030,0
2024.06.17 03:00,2317.30000,2320.06000,2315.49000,2316.88000,7457,0
2024.06.17 04:00,2316.88000,2322.18000,2316.35000,2321.24000,6868,0
2024.06.17 05:00,2321.24000,2322.56000,2319.21000,2320.00000,6182,0
2024.06.17 06:00,2320.04000,2322.50000,2319.48000,2320.42000,5342,0
2024.06.17 07:00,2320.48000,2321.83000,2317.54000,2318.09000,6933,0
2024.06.17 08:00,2318.15000,2321.04000,2316.73000,2319.53000,9292,0
2024.06.17 09:00,2319.51000,2326.14000,2318.60000,2320.85000,13671,0
2024.06.17 10:00,2320.76000,2327.44000,2318.25000,2324.40000,12949,0
2024.06.17 11:00,2324.40000,2325.42000,2309.94000,2312.49000,11581,0
2024.06.17 12:00,2312.60000,2317.04000,2312.58000,2316.87000,7175,0
2024.06.17 13:00,2316.87000,2318.33000,2313.21000,2316.67000,5380,0
2024.06.17 14:00,2316.67000,2319.17000,2316.10000,2317.82000,4675,0
2024.06.17 15:00,2317.81000,2320.52000,2317.81000,2320.09000,3932,0
2024.06.17 16:00,2320.07000,2320.66000,2318.40000,2318.97000,1345,0
2024.06.17 18:00,2320.17000,2321.11000,2319.68000,2320.95000,850,0
2024.06.17 19:00,2320.95000,2321.15000,2319.12000,2320.64000,1741,0
2024.06.17 20:00,2320.64000,2325.46000,2320.63000,2324.03000,5184,0
2024.06.17 21:00,2324.06000,2325.33000,2319.14000,2322.43000,10206,0
2024.06.17 22:00,2322.45000,2325.58000,2321.50000,2324.28000,7902,0
2024.06.17 23:00,2324.25000,2325.05000,2323.10000,2324.36000,4382,0
2024.06.18 00:00,2324.36000,2324.73000,2321.80000,2322.46000,3920,0
2024.06.18 01:00,2322.46000,2323.64000,2319.35000,2322.11000,6062,0
2024.06.18 02:00,2322.12000,2322.64000,2318.71000,2320.01000,5803,0
2024.06.18 03:00,2320.01000,2320.06000,2314.94000,2315.41000,6071,0
2024.06.18 04:00,2315.41000,2315.41000,2310.61000,2311.24000,6717,0
2024.06.18 05:00,2311.23000,2314.21000,2310.82000,2311.02000,6370,0
2024.06.18 06:00,2311.03000,2312.29000,2306.50000,2308.23000,5430,0
2024.06.18 07:00,2308.26000,2314.06000,2306.58000,2313.36000,6030,0
2024.06.18 08:00,2313.33000,2324.06000,2311.37000,2313.87000,14636,0
2024.06.18 09:00,2313.88000,2327.68000,2313.61000,2326.68000,19631,0
2024.06.18 10:00,2326.66000,2326.98000,2322.13000,2323.51000,13437,0
2024.06.18 11:00,2323.51000,2329.68000,2318.65000,2326.77000,11833,0
2024.06.18 12:00,2326.84000,2330.63000,2326.43000,2330.12000,6442,0
2024.06.18 13:00,2330.16000,2333.05000,2328.19000,2329.59000,6347,0
2024.06.18 14:00,2329.62000,2331.39000,2327.32000,2331.19000,4185,0
2024.06.18 15:00,2331.01000,2331.08000,2328.44000,2329.23000,2800,0
2024.06.18 16:00,2329.25000,2330.56000,2328.68000,2329.27000,896,0
2024.06.18 18:00,2329.60000,2330.32000,2327.43000,2328.19000,1153,0
2024.06.18 19:00,2328.19000,2329.50000,2327.81000,2328.21000,1170,0
2024.06.18 20:00,2328.24000,2329.89000,2327.95000,2329.41000,3034,0
2024.06.18 21:00,2329.37000,2330.90000,2326.41000,2330.07000,6460,0
2024.06.18 22:00,2330.07000,2331.18000,2328.83000,2330.26000,4282,0
2024.06.18 23:00,2330.23000,2331.68000,2327.91000,2328.21000,3370,0
2024.06.19 00:00,2327.86000,2328.36000,2327.12000,2327.89000,2297,0
2024.06.19 01:00,2327.89000,2330.01000,2326.75000,2329.20000,4464,0
2024.06.19 02:00,2329.39000,2330.66000,2328.37000,2330.18000,4824,0
2024.06.19 03:00,2330.15000,2332.60000,2329.72000,2331.79000,5922,0
2024.06.19 04:00,2332.01000,2334.91000,2331.88000,2332.46000,4557,0
2024.06.19 05:00,2332.45000,2332.67000,2327.63000,2328.09000,4620,0
2024.06.19 06:00,2328.09000,2329.80000,2327.35000,2327.89000,3904,0
2024.06.19 07:00,2327.90000,2330.91000,2325.70000,2330.36000,4323,0
2024.06.19 08:00,2330.36000,2332.78000,2325.21000,2328.25000,6435,0
2024.06.19 09:00,2328.27000,2331.35000,2326.70000,2328.16000,6980,0
2024.06.19 10:00,2328.08000,2328.30000,2323.66000,2326.06000,7396,0
2024.06.19 11:00,2326.05000,2329.74000,2325.19000,2329.72000,4144,0
2024.06.19 12:00,2329.73000,2331.28000,2328.78000,2329.32000,2647,0
2024.06.19 13:00,2329.29000,2330.94000,2328.82000,2329.92000,1398,0
2024.06.19 14:00,2330.00000,2330.03000,2327.89000,2328.33000,928,0
2024.06.19 18:00,2329.95000,2330.53000,2328.89000,2330.36000,1098,0
2024.06.19 19:00,2330.36000,2330.36000,2328.61000,2329.30000,1378,0
2024.06.19 20:00,2329.30000,2329.73000,2327.66000,2329.63000,2853,0
2024.06.19 21:00,2329.70000,2338.90000,2329.64000,2336.25000,12101,0
2024.06.19 22:00,2336.25000,2337.26000,2332.75000,2333.72000,6799,0
2024.06.19 23:00,2333.70000,2334.34000,2332.31000,2333.84000,4950,0
2024.06.20 00:00,2333.85000,2340.87000,2333.68000,2340.40000,5530,0
2024.06.20 01:00,2340.41000,2344.78000,2339.27000,2340.26000,9206,0
2024.06.20 02:00,2340.28000,2345.57000,2340.17000,2344.05000,8351,0
2024.06.20 03:00,2344.04000,2344.84000,2338.41000,2338.51000,7557,0
2024.06.20 04:00,2338.46000,2338.58000,2332.56000,2333.29000,7609,0
2024.06.20 05:00,2333.24000,2335.68000,2331.47000,2334.54000,5315,0
2024.06.20 06:00,2334.54000,2340.53000,2333.40000,2339.37000,4195,0
2024.06.20 07:00,2339.37000,2341.23000,2337.69000,2339.15000,5112,0
2024.06.20 08:00,2339.15000,2343.61000,2335.22000,2338.44000,13781,0
2024.06.20 09:00,2338.49000,2349.38000,2336.58000,2349.22000,15747,0
2024.06.20 10:00,2349.22000,2364.92000,2348.85000,2363.93000,20360,0
2024.06.20 11:00,2363.90000,2365.38000,2351.31000,2353.58000,12849,0
2024.06.20 12:00,2353.57000,2357.01000,2352.75000,2356.29000,5981,0
2024.06.20 13:00,2356.29000,2357.43000,2354.49000,2357.36000,4516,0
2024.06.20 14:00,2357.39000,2360.95000,2357.25000,2357.91000,3598,0
2024.06.20 15:00,2357.97000,2359.75000,2357.59000,2358.78000,3541,0
2024.06.20 16:00,2358.83000,2359.94000,2358.10000,2359.81000,1188,0
2024.06.20 18:00,2359.98000,2360.41000,2358.08000,2359.31000,2702,0
2024.06.20 19:00,2359.30000,2361.03000,2358.79000,2360.79000,2047,0
2024.06.20 20:00,2360.79000,2364.76000,2360.77000,2364.03000,3800,0
2024.06.20 21:00,2364.03000,2364.12000,2357.02000,2359.49000,12557,0
2024.06.20 22:00,2359.49000,2361.59000,2358.07000,2359.34000,6948,0
