entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month,exit_month
2025-03-28 09:00:00,2025-03-28 22:00:00,SHORT,RANGE,85147.975,84426.0,True,False,False,True,TRAILING_SL,1.1648838389873697,991.8750000000059,13.0,2025-03,2025-03
2025-03-28 10:00:00,2025-03-28 22:00:00,SHORT,RANGE,84941.46500000001,84426.0,True,False,False,True,TRAILING_SL,1.0461557261815633,888.6200000000085,12.0,2025-03,2025-03
2025-03-28 13:00:00,2025-03-30 01:00:00,SHORT,TREND,84993.975,82906.81,True,False,False,True,TRAILING_SL,2.2177601412335486,1884.9625000000071,36.0,2025-03,2025-03
2025-03-28 14:00:00,2025-03-30 01:00:00,SHORT,TREND,84171.985,82906.81,True,False,False,True,TRAILING_SL,1.751138111253213,1473.9677083333377,35.0,2025-03,2025-03
2025-03-29 08:00:00,2025-03-30 01:00:00,SHORT,TREND,83934.925,82906.81,True,False,False,True,TRAILING_SL,1.6148760483195828,1355.4450000000056,17.0,2025-03,2025-03
2025-03-29 09:00:00,2025-03-30 01:00:00,SHORT,TREND,83544.77500000001,82906.81,True,False,False,True,TRAILING_SL,1.3889198935540952,1160.3700000000085,16.0,2025-03,2025-03
2025-04-01 08:00:00,2025-04-02 02:00:00,LONG,RANGE,84121.965,84738.46,True,False,False,True,TRAILING_SL,1.1163968887317455,939.1350000000078,18.0,2025-04,2025-04
2025-04-01 10:00:00,2025-04-02 02:00:00,LONG,RANGE,84176.015,84738.46,True,False,False,True,TRAILING_SL,1.0835746976142864,912.1100000000063,16.0,2025-04,2025-04
2025-04-01 13:00:00,2025-04-02 02:00:00,LONG,RANGE,83618.25499999999,84738.46,True,False,False,True,TRAILING_SL,1.424318170715248,1190.9900000000112,13.0,2025-04,2025-04
2025-03-31 14:00:00,2025-04-02 05:00:00,LONG,TREND,83499.20499999999,84317.46,True,False,False,True,TRAILING_SL,1.4976207957109844,1250.501458333346,39.0,2025-04,2025-04
2025-04-01 09:00:00,2025-04-02 17:00:00,LONG,RANGE,84362.025,86492.0,True,True,False,True,TRAILING_SL,2.000974520229933,1688.0626250000062,32.0,2025-04,2025-04
2025-04-02 08:00:00,2025-04-02 17:00:00,LONG,RANGE,84677.06499999999,86492.0,True,True,False,True,TRAILING_SL,1.919134773979244,1625.0670000000073,9.0,2025-04,2025-04
2025-04-02 09:00:00,2025-04-02 17:00:00,LONG,RANGE,85019.64499999999,86492.0,True,True,False,True,TRAILING_SL,1.8308133373175188,1556.551000000007,8.0,2025-04,2025-04
2025-04-02 10:00:00,2025-04-02 17:00:00,LONG,RANGE,84867.94499999999,86492.0,True,True,False,True,TRAILING_SL,1.8698355427364317,1586.8910000000062,7.0,2025-04,2025-04
2025-04-02 13:00:00,2025-04-02 17:00:00,LONG,RANGE,85215.845,86492.0,True,False,False,True,TRAILING_SL,1.489118602297498,1268.9650000000024,4.0,2025-04,2025-04
